iter	Passed	Remaining
422	2204	3006
423	2208	3000
424	2212	2993
425	2216	2987
426	2221	2980
427	2225	2974
428	2230	2968
429	2234	2962
430	2239	2956
431	2244	2950
432	2250	2946
433	2256	2942
434	2262	2938
435	2268	2934
436	2273	2928
437	2279	2924
438	2284	2919
439	2288	2913
440	2293	2907
441	2297	2901
442	2302	2894
443	2306	2888
444	2310	2882
445	2315	2875
446	2319	2868
447	2323	2862
448	2327	2855
449	2331	2849
450	2336	2844
451	2342	2840
452	2348	2836
453	2354	2831
454	2360	2827
455	2365	2822
456	2371	2817
457	2377	2813
458	2381	2807
459	2386	2801
460	2390	2795
461	2394	2788
462	2399	2782
463	2403	2776
464	2407	2770
465	2412	2764
466	2416	2757
467	2420	2751
468	2424	2745
469	2428	2739
470	2433	2732
471	2437	2726
472	2442	2720
473	2446	2714
474	2450	2708
475	2455	2703
476	2461	2699
477	2467	2695
478	2473	2690
479	2480	2686
480	2485	2682
481	2490	2676
482	2497	2673
483	2502	2668
484	2507	2662
485	2511	2656
486	2516	2650
487	2520	2644
488	2524	2638
489	2529	2632
490	2534	2627
491	2541	2623
492	2549	2622
493	2555	2617
494	2560	2612
495	2566	2607
496	2571	2602
497	2576	2597
498	2580	2591
499	2584	2584
500	2589	2578
501	2593	2572
502	2597	2566
503	2602	2561
504	2606	2554
505	2610	2548
506	2614	2542
507	2619	2536
508	2623	2531
509	2628	2524
510	2632	2518
511	2636	2512
512	2640	2506
513	2644	2500
514	2649	2495
515	2653	2489
516	2657	2482
517	2661	2476
518	2665	2470
519	2671	2466
520	2678	2462
521	2684	2458
522	2691	2454
523	2697	2450
524	2704	2446
525	2709	2441
526	2714	2436
527	2718	2430
528	2723	2424
529	2727	2418
530	2731	2412
531	2736	2407
532	2740	2401
533	2744	2395
534	2750	2391
535	2757	2386
536	2763	2382
537	2769	2378
538	2776	2374
539	2781	2369
540	2786	2363
541	2790	2357
542	2794	2352
543	2799	2346
544	2803	2340
545	2808	2335
546	2812	2329
547	2817	2323
548	2821	2317
549	2825	2311
550	2830	2306
551	2834	2300
552	2838	2294
553	2842	2288
554	2846	2282
555	2851	2276
556	2855	2270
557	2859	2265
558	2863	2259
559	2867	2253
560	2871	2247
561	2875	2241
562	2880	2236
563	2886	2231
564	2892	2227
565	2898	2222
566	2905	2218
567	2910	2213
568	2916	2208
569	2922	2204
570	2927	2199
571	2931	2193
572	2935	2187
573	2940	2182
574	2944	2176
575	2948	2170
576	2953	2164
577	2958	2159
578	2964	2155
579	2970	2150
580	2975	2146
581	2981	2141
582	2988	2137
583	2994	2132
584	2999	2127
585	3004	2122
586	3008	2116
587	3012	2111
588	3017	2105
589	3022	2100
590	3026	2094
591	3031	2089
592	3035	2083
593	3040	2077
594	3044	2072
595	3049	2066
596	3053	2061
597	3057	2055
598	3061	2049
599	3066	2044
600	3070	2038
601	3074	2032
602	3079	2027
603	3084	2022
604	3088	2016
605	3094	2012
606	3100	2007
607	3107	2003
608	3113	1999
609	3120	1994
610	3125	1990
611	3131	1985
612	3137	1980
613	3141	1974
614	3145	1969
615	3150	1963
616	3155	1958
617	3159	1952
618	3163	1947
619	3168	1942
620	3174	1937
621	3181	1933
622	3187	1928
623	3193	1924
624	3198	1919
625	3203	1914
626	3210	1909
627	3214	1904
628	3219	1898
629	3223	1893
630	3228	1887
631	3232	1882
632	3237	1876
633	3241	1871
634	3245	1865
635	3250	1860
636	3254	1854
637	3258	1848
638	3262	1843
639	3266	1837
640	3271	1832
641	3275	1826
642	3279	1821
643	3284	1815
644	3288	1810
645	3292	1804
646	3296	1798
647	3301	1793
648	3306	1788
649	3312	1783
650	3318	1779
651	3324	1774
652	3330	1769
653	3336	1765
654	3342	1760
655	3346	1755
656	3351	1749
657	3355	1744
658	3360	1738
659	3365	1733
660	3371	1729
661	3377	1724
662	3383	1719
663	3389	1715
664	3395	1710
665	3401	1705
666	3405	1700
667	3410	1695
668	3414	1689
669	3419	1684
670	3423	1678
671	3427	1673
672	3431	1667
673	3436	1662
674	3440	1656
675	3445	1651
676	3449	1645
677	3454	1640
678	3458	1635
679	3463	1629
680	3467	1624
681	3472	1618
682	3476	1613
683	3481	1608
684	3485	1602
685	3489	1597
686	3493	1591
687	3498	1586
688	3503	1581
689	3507	1575
690	3511	1570
691	3517	1565
692	3523	1560
693	3529	1556
694	3535	1551
695	3541	1546
696	3546	1541
697	3562	1541
698	3566	1535
699	3570	1530
700	3575	1525
701	3581	1520
702	3587	1515
703	3603	1515
704	3624	1516
705	3646	1518
706	3664	1518
707	3671	1514
708	3678	1509
709	3687	1506
710	3693	1501
711	3699	1496
712	3706	1491
713	3712	1487
714	3718	1482
715	3722	1476
716	3727	1471
717	3734	1466
718	3740	1461
719	3745	1456
720	3751	1451
721	3757	1446
722	3763	1441
723	3768	1436
724	3774	1431
725	3788	1429
726	3793	1424
727	3799	1419
728	3805	1414
729	3810	1409
730	3816	1404
731	3821	1399
732	3834	1396
733	3838	1391
734	3843	1385
735	3847	1380
736	3852	1374
737	3856	1369
738	3860	1363
739	3865	1358
740	3871	1353
741	3875	1347
742	3879	1342
743	3884	1336
744	3888	1330
745	3892	1325
746	3896	1319
747	3901	1314
748	3905	1308
749	3909	1303
750	3914	1297
751	3918	1292
752	3922	1286
753	3927	1281
754	3933	1276
755	3938	1271
756	3944	1266
757	3949	1261
758	3957	1256
759	3963	1251
760	3968	1246
761	3973	1241
762	3977	1235
763	3982	1230
764	3986	1224
765	3990	1218
766	3994	1213
767	3998	1207
768	4003	1202
769	4009	1197
770	4015	1192
771	4021	1187
772	4026	1182
773	4032	1177
774	4037	1172
775	4043	1167
776	4047	1161
777	4052	1156
778	4056	1150
779	4060	1145
780	4064	1139
781	4069	1134
782	4073	1128
783	4078	1123
784	4082	1118
785	4086	1112
786	4090	1107
787	4094	1101
788	4099	1096
789	4103	1090
790	4107	1085
791	4111	1079
792	4116	1074
793	4120	1069
794	4125	1063
795	4131	1058
796	4137	1053
797	4143	1048
798	4148	1043
799	4154	1038
800	4160	1033
801	4165	1028
802	4170	1023
803	4175	1017
804	4179	1012
805	4184	1007
806	4188	1001
807	4193	996
808	4197	991
809	4203	986
810	4209	981
811	4214	975
812	4220	970
813	4225	965
814	4231	960
815	4237	955
816	4246	951
817	4250	945
818	4254	940
819	4259	934
820	4263	929
821	4268	924
822	4272	918
823	4276	913
824	4280	907
825	4284	902
826	4289	897
827	4293	891
828	4298	886
829	4302	881
830	4307	875
831	4311	870
832	4315	865
833	4320	860
834	4326	854
835	4331	849
836	4337	844
837	4342	839
838	4348	834
839	4354	829
840	4359	824
841	4364	819
842	4369	813
843	4373	808
844	4378	803
845	4382	797
846	4386	792
847	4390	787
848	4395	781
849	4399	776
850	4404	771
851	4408	765
852	4414	760
853	4420	755
854	4426	750
855	4431	745
856	4437	740
857	4442	735
858	4447	730
859	4453	724
860	4458	719
861	4463	714
862	4468	709
863	4472	704
864	4477	698
865	4481	693
866	4485	688
867	4489	682
868	4493	677
869	4497	672
870	4502	666
871	4507	661
872	4511	656
873	4515	650
874	4519	645
875	4523	640
876	4527	635
877	4533	629
878	4538	624
879	4544	619
880	4549	614
881	4555	609
882	4561	604
883	4566	599
884	4572	594
885	4577	588
886	4582	583
887	4586	578
888	4590	573
889	4594	567
890	4598	562
891	4604	557
892	4609	552
893	4614	547
894	4620	542
895	4626	536
896	4631	531
897	4637	526
898	4642	521
899	4648	516
900	4653	511
901	4658	506
902	4662	500
903	4666	495
904	4670	490
905	4674	485
906	4678	479
907	4683	474
908	4687	469
909	4691	463
910	4695	458
911	4699	453
912	4704	448
913	4708	443
914	4713	437
915	4717	432
916	4722	427
917	4727	422
918	4733	417
919	4739	412
920	4744	406
921	4750	401
922	4756	396
923	4761	391
924	4766	386
925	4773	381
