iter	RMSE
206	5.77330445
207	5.772375201
208	5.77164017
209	5.771033453
210	5.76993958
211	5.768695776
212	5.767886938
213	5.766659438
214	5.765838207
215	5.764871546
216	5.764078985
217	5.763127889
218	5.762586196
219	5.761865361
220	5.760934692
221	5.759864695
222	5.759230375
223	5.758455029
224	5.757875539
225	5.756999715
226	5.756619383
227	5.755591521
228	5.754336274
229	5.753528496
230	5.752468241
231	5.751513965
232	5.750493499
233	5.749361086
234	5.748291829
235	5.747364069
236	5.746380441
237	5.745534234
238	5.744762814
239	5.743648975
240	5.742418677
241	5.741572061
242	5.740360701
243	5.739549497
244	5.738919024
245	5.738304869
246	5.737113726
247	5.736243546
248	5.734877808
249	5.733672413
250	5.732743545
251	5.731739344
252	5.731151738
253	5.73055042
254	5.729370186
255	5.728795592
256	5.728050856
257	5.727478411
258	5.726952909
259	5.726182846
260	5.725522332
261	5.724427064
262	5.723675666
263	5.723022998
264	5.722048975
265	5.721231539
266	5.720389053
267	5.71950714
268	5.718546729
269	5.717716666
270	5.7171557
271	5.716421875
272	5.715364338
273	5.714635633
274	5.713685722
275	5.713422749
276	5.712728037
277	5.712092778
278	5.711220204
279	5.710456764
280	5.709978297
281	5.709437857
282	5.708714131
283	5.708032669
284	5.707208502
285	5.706453172
286	5.705627117
287	5.704537962
288	5.703768962
289	5.703102855
290	5.702484285
291	5.701912968
292	5.701331362
293	5.70063361
294	5.699908641
295	5.69916256
296	5.698389414
297	5.697801752
298	5.696727585
299	5.695756101
300	5.695372831
301	5.694674927
302	5.69378617
303	5.692987252
304	5.692381031
305	5.691767498
306	5.691187731
307	5.690565631
308	5.689854994
309	5.689179745
310	5.688418575
311	5.687800639
312	5.687102538
313	5.685962874
314	5.685388497
315	5.685033981
316	5.684366618
317	5.683834798
318	5.683096915
319	5.68259731
320	5.682027615
321	5.681542812
322	5.680795003
323	5.679908106
324	5.679329599
325	5.678697619
326	5.678077521
327	5.677703942
328	5.677021674
329	5.676673337
330	5.675921613
331	5.675008902
332	5.674108009
333	5.673538451
334	5.672733902
335	5.672219365
336	5.671712131
337	5.670967097
338	5.670304643
339	5.669662837
340	5.668810816
341	5.668380644
342	5.667829911
343	5.667040851
344	5.66629786
345	5.665407255
346	5.664849522
347	5.664511573
348	5.663645714
349	5.663013273
350	5.662424691
351	5.661581133
352	5.661069772
353	5.659927177
354	5.659173371
355	5.658649987
356	5.657775724
357	5.657192081
358	5.656963139
359	5.65661956
360	5.655851704
361	5.655342621
362	5.654834022
363	5.654198087
364	5.653456523
365	5.65309496
366	5.652543966
367	5.65215886
368	5.651385663
369	5.650897808
370	5.650220332
371	5.649555069
372	5.649041358
373	5.648410053
374	5.647926966
375	5.647523945
376	5.646791726
377	5.646086075
378	5.645536493
379	5.644909187
380	5.644178197
381	5.643610174
382	5.642970979
383	5.642518736
384	5.642021855
385	5.641489239
386	5.641099743
387	5.640527751
388	5.640068232
389	5.6395962
390	5.638977771
391	5.638681921
392	5.638253057
393	5.637876778
394	5.637207628
395	5.636702893
396	5.636243589
397	5.635565775
398	5.635313127
399	5.634929298
400	5.634394094
401	5.633440932
402	5.632726125
403	5.632026168
404	5.631394672
405	5.630673893
406	5.630010355
407	5.629684852
408	5.628734471
409	5.627777391
410	5.627371023
411	5.627017969
412	5.626478028
413	5.625726914
414	5.625072665
415	5.624526643
416	5.623694212
417	5.623225193
418	5.622964704
419	5.622244487
420	5.621568155
421	5.621244183
422	5.621050971
423	5.620699261
424	5.620129257
425	5.619426536
426	5.618964691
427	5.618574597
428	5.617972228
429	5.617374182
430	5.617008801
431	5.616553032
432	5.615754566
433	5.615284679
434	5.614723322
435	5.614312763
436	5.613674463
437	5.613005409
438	5.61239021
439	5.611685603
440	5.611122212
441	5.610780138
442	5.61030763
443	5.609716799
444	5.609058202
445	5.608579377
446	5.608048283
447	5.607549092
448	5.60711388
449	5.606994917
450	5.606447721
451	5.605922861
452	5.605436598
453	5.605067613
454	5.604401505
455	5.604052528
456	5.60345161
457	5.602982878
458	5.602389236
459	5.601803948
460	5.601526314
461	5.600872424
462	5.60019519
463	5.599777489
464	5.598968844
465	5.598310801
466	5.597700087
467	5.597290869
468	5.596874014
469	5.596388721
470	5.595932046
471	5.595430395
472	5.595176064
473	5.594646662
474	5.594116267
475	5.59316309
476	5.592727827
477	5.592358435
478	5.591629617
479	5.591192678
480	5.590907095
481	5.590407032
482	5.589944259
483	5.589074661
484	5.588592531
485	5.588239776
486	5.587784286
487	5.587170012
488	5.586902483
489	5.586282147
490	5.585321587
491	5.584773586
492	5.584273537
493	5.584106523
494	5.58363421
495	5.58338065
496	5.582635282
497	5.582141404
498	5.581404703
499	5.581294631
500	5.580869352
501	5.58046904
502	5.579628676
503	5.578734574
504	5.578421321
505	5.577894853
506	5.577391358
507	5.576919585
508	5.576396566
509	5.57571155
510	5.575017149
511	5.57449003
512	5.57431014
513	5.573650385
514	5.5732039
515	5.572856292
516	5.572606012
517	5.572368262
518	5.571775135
519	5.571045347
520	5.570696993
521	5.570326943
522	5.569856629
523	5.56934815
524	5.56880248
525	5.568494395
526	5.567933561
527	5.567604605
528	5.567280054
529	5.566947732
530	5.566577895
531	5.565955137
532	5.565617375
533	5.565281343
534	5.56490328
535	5.564302275
536	5.563703511
537	5.563359887
538	5.562860818
539	5.562559754
540	5.562048741
541	5.561392801
542	5.561100355
543	5.560537129
544	5.560255557
545	5.559963617
546	5.559358444
547	5.558819564
548	5.558180856
549	5.557919773
550	5.557114393
551	5.556610538
552	5.556414076
553	5.555917732
554	5.555406921
555	5.554750083
556	5.554517577
557	5.554174225
558	5.553748707
559	5.553433139
560	5.552955597
561	5.55273404
562	5.552381182
563	5.552122175
564	5.551618723
565	5.551092197
566	5.5504095
567	5.549732293
568	5.549420171
569	5.54894212
570	5.54832548
571	5.547893064
572	5.547592761
573	5.547219286
574	5.546900282
575	5.546385352
576	5.545755438
577	5.545490085
578	5.545073527
579	5.544660841
580	5.544306116
581	5.543827676
582	5.543224041
583	5.542767073
584	5.54224015
585	5.541902194
586	5.541170888
587	5.541017364
588	5.540821539
589	5.540205032
590	5.539830404
591	5.539325317
592	5.538805794
593	5.53829868
594	5.537809451
595	5.537428287
596	5.537177308
597	5.536867879
598	5.536235847
599	5.535723542
600	5.53535478
601	5.534671721
602	5.53416544
603	5.533676408
604	5.533183869
605	5.5323817
606	5.532110811
607	5.531632396
608	5.531381908
609	5.530711876
610	5.530376775
611	5.529711774
612	5.529247164
613	5.528868852
614	5.528522648
615	5.528160835
616	5.527590002
617	5.527084324
618	5.526752722
619	5.526469788
620	5.525951642
621	5.525479573
622	5.525220571
623	5.524751698
624	5.524477732
625	5.524059721
626	5.523542655
627	5.523044225
628	5.522606138
629	5.522211802
630	5.52193603
631	5.521497439
632	5.520976057
633	5.520266452
634	5.519762855
635	5.519367191
636	5.519156664
637	5.518817397
638	5.518447294
639	5.518199338
640	5.517907207
641	5.517701458
642	5.517459625
643	5.51708215
644	5.516501731
645	5.516112568
646	5.515712284
647	5.515282339
648	5.515026991
649	5.514754257
650	5.514161457
651	5.513829638
652	5.513525336
653	5.512979805
654	5.512652806
655	5.512396483
656	5.512241937
657	5.511930922
658	5.5115779
659	5.511200056
660	5.510727363
661	5.510478759
662	5.510216476
663	5.509835773
664	5.50970394
665	5.509353954
666	5.508819258
667	5.508415233
668	5.50815494
669	5.507895391
670	5.507487532
671	5.507060924
672	5.506733704
673	5.506196722
674	5.505746237
675	5.505588526
676	5.505080789
677	5.504687806
678	5.504170764
679	5.503712311
680	5.503287324
681	5.502910941
682	5.502340907
683	5.502145744
684	5.501781852
685	5.501337781
686	5.501232734
687	5.500825243
688	5.500481673
689	5.499854038
690	5.499501135
691	5.49911018
692	5.498658273
693	5.498218452
694	5.497750398
695	5.497478719
696	5.496955871
697	5.496407513
698	5.496202713
699	5.49607236
700	5.495754686
701	5.495466089
702	5.494961877
703	5.494522074
704	5.494293366
705	5.493732258
706	5.493073777
707	5.492671213
708	5.49231352
709	5.491834932
710	5.491321094
711	5.490864481
712	5.490726059
713	5.490291182
714	5.489856687
715	5.489362338
716	5.489103934
717	5.488670493
718	5.488349681
719	5.487912026
720	5.487455647
721	5.487070347
722	5.486605545
723	5.486228376
724	5.485874619
725	5.485354916
726	5.485127606
727	5.48504204
728	5.484453422
729	5.484301959
730	5.483762012
731	5.483273716
732	5.482603569
733	5.482362092
734	5.481852807
735	5.481457292
736	5.481008114
737	5.480886782
738	5.480477467
739	5.480350705
740	5.479798618
741	5.479366783
742	5.479024008
743	5.478575173
744	5.478195675
745	5.477726155
746	5.477380056
747	5.477035592
748	5.476526745
749	5.476137505
750	5.47562745
751	5.475033979
752	5.474921252
753	5.474619287
754	5.474174379
755	5.473687296
756	5.473329903
757	5.473134525
758	5.472614824
759	5.472048822
760	5.471717337
761	5.471194481
762	5.470830569
763	5.470345736
764	5.470167241
765	5.469893821
766	5.46964324
767	5.469488616
768	5.468989999
769	5.468525118
770	5.468258671
771	5.467932874
772	5.467513712
773	5.467248034
774	5.466757052
775	5.466192789
776	5.465617154
777	5.465239416
778	5.46490895
779	5.464368189
780	5.464284081
781	5.463976052
782	5.463621379
783	5.463171506
784	5.463064593
785	5.462799808
786	5.462428847
787	5.461932752
788	5.461390419
789	5.460965034
790	5.460275028
791	5.459887626
792	5.459565666
793	5.459468004
794	5.459028547
795	5.458570096
796	5.458436336
797	5.45799252
798	5.457381276
799	5.456889475
800	5.456429734
801	5.456245725
802	5.456025031
803	5.455723331
804	5.455070665
805	5.454723297
806	5.45451827
807	5.454086206
808	5.453733248
809	5.453290015
810	5.452867078
811	5.452641339
812	5.452439916
813	5.452181521
814	5.451913792
815	5.451666891
816	5.451520169
817	5.451334704
818	5.451111275
819	5.45069236
820	5.450265598
821	5.449886871
822	5.449417012
823	5.449326579
824	5.448983937
825	5.44853625
826	5.448050025
827	5.447548111
828	5.447145685
829	5.447013878
830	5.446570013
831	5.44608882
832	5.44575468
833	5.445389634
834	5.44498354
835	5.444647074
836	5.444423859
837	5.444088018
838	5.443546622
839	5.443113451
840	5.442790675
841	5.442471195
842	5.442114018
843	5.441697323
844	5.441249276
845	5.440918347
846	5.440536862
847	5.439979934
848	5.439681288
849	5.439327284
850	5.438911491
851	5.438533641
852	5.438028023
853	5.437818095
854	5.437483156
855	5.437395397
856	5.437266204
857	5.437151027
858	5.436799144
859	5.436421397
860	5.435957089
861	5.435531367
862	5.435006995
863	5.434939552
864	5.434694984
865	5.434480818
866	5.434058659
867	5.433777116
868	5.433324109
869	5.433006658
870	5.432570605
871	5.432412213
872	5.432138645
873	5.431697149
874	5.431573168
875	5.431414303
876	5.431188268
877	5.431055343
878	5.430703901
879	5.430589606
880	5.430125623
881	5.429690756
882	5.429199681
883	5.428779243
884	5.428505906
885	5.42842111
886	5.428135671
887	5.427841512
888	5.427367159
889	5.427100254
890	5.42635518
891	5.425876827
892	5.425770513
893	5.425590091
894	5.425384866
895	5.424978753
896	5.424641939
897	5.424288291
898	5.423825878
899	5.423537057
900	5.423147515
901	5.422767252
902	5.42231767
903	5.421930078
904	5.421839512
905	5.421399274
906	5.421158003
907	5.420760264
908	5.420524173
909	5.420319615
910	5.420118953
911	5.419515375
912	5.419179376
913	5.418958137
914	5.41857283
915	5.418381686
916	5.418020017
917	5.417735503
918	5.417548377
919	5.417100028
920	5.416886497
921	5.416451161
922	5.416008217
923	5.415779616
924	5.415638085
925	5.415277739
926	5.414834814
927	5.41448089
928	5.414262519
929	5.414130946
930	5.413631376
931	5.413303364
932	5.41294857
933	5.412490916
934	5.412169373
935	5.411732422
936	5.411444173
937	5.41107243
938	5.410788179
939	5.410452047
940	5.409896622
941	5.409817691
942	5.409513253
943	5.40904394
944	5.408772217
945	5.408519044
946	5.408285567
947	5.407918445
948	5.40740997
949	5.406878225
950	5.406500203
951	5.406057788
952	5.405274954
953	5.404869033
954	5.404599314
955	5.404295898
956	5.40371343
957	5.403384908
958	5.403257993
959	5.403089942
960	5.402787922
961	5.402521127
962	5.402031584
963	5.401548243
964	5.401207864
965	5.400889273
966	5.400500442
967	5.399941771
968	5.399549494
969	5.399115588
970	5.39890555
971	5.398451298
972	5.398150148
973	5.397920253
974	5.397383398
975	5.397095736
976	5.39659356
977	5.396162722
978	5.395438137
979	5.395250476
980	5.394693833
981	5.394514071
982	5.393937678
983	5.393741473
984	5.393454493
985	5.393084442
986	5.392810831
987	5.392433177
988	5.392020297
989	5.391712215
990	5.391419736
991	5.391212878
992	5.390787902
993	5.390635328
994	5.390478565
995	5.390085575
996	5.389638198
997	5.389382011
998	5.389284578
999	5.388880913
